,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,car,because
10,mettre,to put
11,laisse,leash
12,eux,them
13,ville,city
14,chaque,each
15,parlé,speak
16,arrivé,come
17,devrait,should
18,bébé,baby
19,heures,hours
20,vont,will
21,revoir,meet again
22,aucune,any
23,place,square
24,parle,speak
25,compris,understood
26,savais,knew
27,attention,Warning
28,voici,here is
29,pourrais,could
30,donner,give
31,leurs,their
32,donné,given
33,train,train
34,corps,body
35,endroit,place
36,yeux,eyes
37,façon,way
38,dont,whose
39,trouve,find
40,premier,first
41,perdu,lost
42,main,hand
43,première,first
44,côté,side
45,pouvoir,power
46,vieux,old
47,sois,be
48,tiens,here
49,matin,morning
50,tellement,so much
51,point,point
52,venu,came
53,suite,after
54,pardon,sorry
55,venez,come
56,devant,in front of
57,vers,towards
58,minutes,minutes
59,chambre,bedroom
60,mis,placed
61,belle,beautiful
62,droit,law
63,aimerais,would like to
64,aujourd'hui,today
65,mari,husband
66,cause,cause
67,enfin,finally
68,espère,hope
69,eau,water
70,attendez,Wait
71,parti,left
72,nouvelle,new
73,boulot,job
74,arrêter,Stop
75,dirait,would say
76,terre,Earth
77,compte,account
78,donne,given
79,loin,far
80,fin,end
81,croire,believe
82,chérie,sweetheart
83,plutôt,rather
84,aura,will have
85,filles,girls
86,jouer,to play
87,bureau,office
